fecha,periodo,laeq
2020-05-20,T,58.55
2020-05-21,D,60.25666666666667
2020-05-21,E,58.986666666666665
2020-05-21,N,53.09
2020-05-21,T,58.96666666666667
2020-05-22,D,60.276666666666664
2020-05-22,E,59.40333333333333
2020-05-22,N,52.919999999999995
2020-05-22,T,59.01333333333333
2020-05-23,D,59.056666666666665
2020-05-23,E,58.163333333333334
2020-05-23,N,52.330000000000005
2020-05-23,T,57.89
2020-05-24,D,56.49
2020-05-24,E,58.00666666666667
2020-05-24,N,52.080000000000005
2020-05-24,T,56.123333333333335
2020-05-25,D,62.15
2020-05-25,E,61.04666666666667
2020-05-25,N,52.75666666666667
2020-05-25,T,60.663333333333334
2020-05-26,D,61.230000000000004
2020-05-26,E,60.666666666666664
2020-05-26,N,53.80333333333333
2020-05-26,T,59.97
2020-05-27,D,60.96
2020-05-27,E,60.980000000000004
2020-05-27,N,54.11333333333334
2020-05-27,T,59.82666666666667
2020-05-28,D,60.86
2020-05-28,E,60.89
2020-05-28,N,54.11333333333334
2020-05-28,T,59.75333333333333
2020-05-29,D,60.44666666666667
2020-05-29,E,61.083333333333336
2020-05-29,N,54.21666666666667
2020-05-29,T,59.61333333333334
2020-05-30,D,59.06666666666667
2020-05-30,E,60.13
2020-05-30,N,54.8
2020-05-30,T,58.440000000000005
2020-05-31,D,59.06333333333334
2020-05-31,E,63.483333333333334
2020-05-31,N,54.43
2020-05-31,T,59.64
2020-06-01,D,60.76
2020-06-01,E,60.3
2020-06-01,N,53.99666666666667
2020-06-01,T,59.519999999999996
2020-06-02,D,61.016666666666666
2020-06-02,E,60.36333333333334
2020-06-02,N,53.88666666666666
2020-06-02,T,59.71
2020-06-03,D,60.843333333333334
2020-06-03,E,61.32666666666667
2020-06-03,N,54.730000000000004
2020-06-03,T,59.86333333333334
2020-06-04,D,61.486666666666665
2020-06-04,E,61.07
2020-06-04,N,54.35666666666667
2020-06-04,T,60.236666666666665
2020-06-05,D,60.64666666666667
2020-06-05,E,61.629999999999995
2020-06-05,N,54.24333333333333
2020-06-05,T,59.86333333333334
2020-06-06,D,59.123333333333335
2020-06-06,E,60.88333333333333
2020-06-06,N,55.61666666666667
2020-06-06,T,58.8
2020-06-07,D,58.32333333333334
2020-06-07,E,59.373333333333335
2020-06-07,N,55.20333333333333
2020-06-07,T,57.766666666666666
2020-06-08,D,60.86333333333334
2020-06-08,E,60.68666666666666
2020-06-08,N,53.983333333333334
2020-06-08,T,59.64
2020-06-09,D,60.86333333333334
2020-06-09,E,60.656666666666666
2020-06-09,N,54.12
2020-06-09,T,59.586666666666666
2020-06-10,D,61.24333333333333
2020-06-10,E,61.24333333333333
2020-06-10,N,54.123333333333335
2020-06-10,T,60.07
2020-06-11,D,61.789655172413795
2020-06-11,E,61.913333333333334
2020-06-11,N,54.39333333333333
2020-06-11,T,60.58275862068966
2020-06-12,D,62.07333333333334
2020-06-12,E,62.3
2020-06-12,N,54.70333333333333
2020-06-12,T,60.919999999999995
2020-06-13,D,59.45862068965517
2020-06-13,E,60.751724137931035
2020-06-13,N,55.43333333333333
2020-06-13,T,58.91724137931034
2020-06-14,D,58.36206896551724
2020-06-14,E,59.755172413793105
2020-06-14,N,55.02758620689655
2020-06-14,T,57.90689655172414
2020-06-15,D,61.16896551724138
2020-06-15,E,61.019999999999996
2020-06-15,N,54.03448275862069
2020-06-15,T,60.1448275862069
2020-06-16,D,61.64
2020-06-16,E,61.02333333333333
2020-06-16,N,54.16
2020-06-16,T,60.236666666666665
2020-06-17,D,61.35666666666667
2020-06-17,E,61.263333333333335
2020-06-17,N,54.35
2020-06-17,T,60.13
2020-06-18,D,61.35666666666667
2020-06-18,E,61.34666666666667
2020-06-18,N,54.64
2020-06-18,T,60.14333333333333
2020-06-19,D,61.15333333333333
2020-06-19,E,62.09666666666667
2020-06-19,N,55.2
2020-06-19,T,60.53666666666666
2020-06-20,D,59.28333333333333
2020-06-20,E,60.79333333333333
2020-06-20,N,56.21333333333334
2020-06-20,T,58.96
2020-06-21,D,58.419999999999995
2020-06-21,E,59.841379310344834
2020-06-21,N,55.836666666666666
2020-06-21,T,58.10333333333333
2020-06-22,D,61.206896551724135
2020-06-22,E,60.42758620689656
2020-06-22,N,54.88965517241379
2020-06-22,T,59.86551724137931
2020-06-23,D,61.25333333333333
2020-06-23,E,60.74666666666667
2020-06-23,N,54.3
2020-06-23,T,59.89666666666666
2020-06-24,D,61.419999999999995
2020-06-24,E,61.38333333333333
2020-06-24,N,55.11
2020-06-24,T,60.24333333333333
2020-06-25,D,61.66
2020-06-25,E,61.86666666666667
2020-06-25,N,55.11333333333334
2020-06-25,T,60.583333333333336
2020-06-26,D,62.02758620689655
2020-06-26,E,61.36896551724138
2020-06-26,N,55.343333333333334
2020-06-26,T,60.706896551724135
2020-06-27,D,59.95862068965517
2020-06-27,E,60.59310344827586
2020-06-27,N,55.686206896551724
2020-06-27,T,59.19655172413793
2020-06-28,D,59.23793103448276
2020-06-28,E,60.51379310344828
2020-06-28,N,55.47586206896552
2020-06-28,T,58.775862068965516
2020-06-29,D,62.00344827586206
2020-06-29,E,61.4896551724138
2020-06-29,N,54.48571428571428
2020-06-29,T,60.710344827586205
2020-06-30,D,62.320689655172416
2020-06-30,E,61.36551724137931
2020-06-30,N,54.96551724137931
2020-06-30,T,60.90344827586207
2020-07-01,D,62.50666666666667
2020-07-01,E,61.15
2020-07-01,N,55.28666666666666
2020-07-01,T,60.980000000000004
2020-07-02,D,61.99333333333333
2020-07-02,E,61.26296296296296
2020-07-02,N,55.083333333333336
2020-07-02,T,60.49
2020-07-03,D,62.27777777777778
2020-07-03,E,60.9962962962963
2020-07-03,N,55.285185185185185
2020-07-03,T,60.8074074074074
2020-07-04,D,59.644444444444446
2020-07-04,E,60.729629629629635
2020-07-04,N,55.63703703703704
2020-07-04,T,59.06666666666666
2020-07-05,D,59.044444444444444
2020-07-05,E,60.403703703703705
2020-07-05,N,55.71851851851852
2020-07-05,T,58.666666666666664
2020-07-06,D,62.77777777777778
2020-07-06,E,61.7
2020-07-06,N,55.01481481481482
2020-07-06,T,61.46296296296296
2020-07-07,D,62.422222222222224
2020-07-07,E,61.44444444444444
2020-07-07,N,54.770370370370365
2020-07-07,T,61.02222222222222
2020-07-08,D,62.355555555555554
2020-07-08,E,62.1037037037037
2020-07-08,N,55.17777777777778
2020-07-08,T,61.1925925925926
2020-07-09,D,62.1925925925926
