dim,año,valor_evolucion,dim_num,hoja,CCAA,valor_madrid
4. Educación,2023,109.567865588266,4.0,Dimensión 4,"Madrid, Comunidad de",112.890669056648
5. Ocio y relaciones sociales,2023,94.1341094830543,5.0,Dimensión 5,"Madrid, Comunidad de",95.4073999273013
6. Seguridad física y personal,2023,100.227728855035,6.0,Dimensión 6,"Madrid, Comunidad de",95.6223243242675
7. Gobernanza y derechos básicos,2023,98.5620685459341,7.0,Dimensión 7,"Madrid, Comunidad de",101.76063831613
8. Entorno y medioambiente,2023,101.998836790235,8.0,Dimensión 8,"Madrid, Comunidad de",101.924769915676
9. Experiencia general de la vida,2023,102.957527395635,9.0,Dimensión 9,"Madrid, Comunidad de",101.860155015715
Global,2024,101.467222585803,,AMPI_Global,"Madrid, Comunidad de",102.277823349627
1. Condiciones materiales de vida,2024,99.9836882186837,1.0,Dimensión 1,"Madrid, Comunidad de",100.392714192527
2. Trabajo,2024,102.335091501436,2.0,Dimensión 2,"Madrid, Comunidad de",104.155570930902
3. Salud,2024,103.285735708769,3.0,Dimensión 3,"Madrid, Comunidad de",105.449333990095
4. Educación,2024,110.112882409822,4.0,Dimensión 4,"Madrid, Comunidad de",113.492920632934
5. Ocio y relaciones sociales,2024,93.9012532467569,5.0,Dimensión 5,"Madrid, Comunidad de",95.2045875911194
6. Seguridad física y personal,2024,100.292223505576,6.0,Dimensión 6,"Madrid, Comunidad de",96.1536081116229
7. Gobernanza y derechos básicos,2024,98.5620685459341,7.0,Dimensión 7,"Madrid, Comunidad de",101.76063831613
8. Entorno y medioambiente,2024,102.030264416561,8.0,Dimensión 8,"Madrid, Comunidad de",101.845541545156
9. Experiencia general de la vida,2024,102.701795718685,9.0,Dimensión 9,"Madrid, Comunidad de",102.045494836159
