Sexo	Edad	Salud mental	SI o NO_salud mental	periodo	Total
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	3,16
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	3,09
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	96,84
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	96,91
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	19,84
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	16,84
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	No	Durante pandemia	80,16
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	83,16
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	Sí	Durante pandemia	21,44
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	18,96
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	No	Durante pandemia	78,56
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	No	Anterior a pandemia	81,04
AMBOS SEXOS	De 45 a 64 años	Problemas para dormir	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Problemas para dormir	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Problemas para dormir	Sí	Durante pandemia	21,38
AMBOS SEXOS	De 45 a 64 años	Problemas para dormir	Sí	Anterior a pandemia	19,87
AMBOS SEXOS	De 45 a 64 años	Problemas para dormir	No	Durante pandemia	78,62
AMBOS SEXOS	De 45 a 64 años	Problemas para dormir	No	Anterior a pandemia	80,13
AMBOS SEXOS	De 45 a 64 años	Sensación de cansancio	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Sensación de cansancio	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Sensación de cansancio	Sí	Durante pandemia	19,77
AMBOS SEXOS	De 45 a 64 años	Sensación de cansancio	Sí	Anterior a pandemia	24,39
AMBOS SEXOS	De 45 a 64 años	Sensación de cansancio	No	Durante pandemia	80,23
AMBOS SEXOS	De 45 a 64 años	Sensación de cansancio	No	Anterior a pandemia	75,61
AMBOS SEXOS	De 45 a 64 años	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Poco apetido o comer demasiado	Sí	Durante pandemia	8,51
AMBOS SEXOS	De 45 a 64 años	Poco apetido o comer demasiado	Sí	Anterior a pandemia	10,82
AMBOS SEXOS	De 45 a 64 años	Poco apetido o comer demasiado	No	Durante pandemia	91,49
AMBOS SEXOS	De 45 a 64 años	Poco apetido o comer demasiado	No	Anterior a pandemia	89,18
AMBOS SEXOS	De 45 a 64 años	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Sentirse mal con uno mismo	Sí	Durante pandemia	6,41
AMBOS SEXOS	De 45 a 64 años	Sentirse mal con uno mismo	Sí	Anterior a pandemia	8,84
AMBOS SEXOS	De 45 a 64 años	Sentirse mal con uno mismo	No	Durante pandemia	93,59
AMBOS SEXOS	De 45 a 64 años	Sentirse mal con uno mismo	No	Anterior a pandemia	91,16
AMBOS SEXOS	De 45 a 64 años	Problemas para concentrarse	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Problemas para concentrarse	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Problemas para concentrarse	Sí	Durante pandemia	6,09
AMBOS SEXOS	De 45 a 64 años	Problemas para concentrarse	Sí	Anterior a pandemia	7,87
AMBOS SEXOS	De 45 a 64 años	Problemas para concentrarse	No	Durante pandemia	93,91
AMBOS SEXOS	De 45 a 64 años	Problemas para concentrarse	No	Anterior a pandemia	92,13
AMBOS SEXOS	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	4,54
AMBOS SEXOS	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	5,62
AMBOS SEXOS	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	95,46
AMBOS SEXOS	De 45 a 64 años	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	94,38
AMBOS SEXOS	De 65 y más años	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
AMBOS SEXOS	De 65 y más años	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 65 y más años	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	28,33
AMBOS SEXOS	De 65 y más años	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	25,93
AMBOS SEXOS	De 65 y más años	Poco interés o alegría por hacer cosas	No	Durante pandemia	71,67
AMBOS SEXOS	De 65 y más años	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	74,07
AMBOS SEXOS	De 65 y más años	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
AMBOS SEXOS	De 65 y más años	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 65 y más años	Sensación de estar decaído o deprimido	Sí	Durante pandemia	30,35
AMBOS SEXOS	De 65 y más años	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	29,02
AMBOS SEXOS	De 65 y más años	Sensación de estar decaído o deprimido	No	Durante pandemia	69,65
AMBOS SEXOS	De 65 y más años	Sensación de estar decaído o deprimido	No	Anterior a pandemia	70,98
AMBOS SEXOS	De 65 y más años	Problemas para dormir	Total	Durante pandemia	100,00
